frase,tweet_clean,suicidio
la vida no vale nada,mientras entre platica al negocio la vida del ser humano no vale nada,0
la vida no vale nada,no hay nada mas doloroso que la muerte puede que tengas todo o no tengas nada pero la vida de cualquier persona val,0
la vida no vale nada,no lo va a hacer sabe que está en juego su libertad donde se instala la audiencia por,0
la vida no vale nada,aquí la vida no vale nada que dolor le pido a dios que le brinde fortaleza a su familia,0
la vida no vale nada,la vida de estos muchachos por no ser adinerados no vale nada,0
la vida no vale nada,típico joven de izquierda marxistade hoyno tienen respeto por nada ni nadiey par,0
la vida no vale nada,ni torra ni nadie vale que te den una paliza vivid idiotas no os dejeis manipular ni por políticos,0
la vida no vale nada,y en méxico la vida no vale nada lamentable declaraciones de las cosas de,0
la vida no vale nada,desde donde la vida no vale nada sds desde león,0
la vida no vale nada,la vida vale la pena si te importa claro a la primera persona que le debe importar la vida es a tí no esperes a que los,0
la vida no vale nada,saludarme a que según ella no pasa nada y se hace vida normal en ba,0
la vida no vale nada,notecalles estaré parada porque yo no nací para estar sentada la vida no vale nada si no es para perecer si,0
la vida no vale nada,intentaron venderme un pinche seguro de vida vía telefónica después de darle chance de que usara sus discursos le,0
la vida no vale nada,qué puedes esperar de un país comunista que ha esclavizado a su pueblo por décadas y la vida no vale nada cualquier p,0
la vida no vale nada,y nada se les da matar a un ladrón para defender un celular sigue la misma lógica lo que vale no,0
la vida no vale nada,lo q entendiste no tiene nada q ver lo q ahí dice es q la vida de una persona vale menos q el dinero de un pasaje,0
la vida no vale nada,que triste darse cuenta que en este país la vida de un indígena no vale nada en este país no pasa nada mientras hay indíg,0
lastimarme,yo no quería lastimarme,1
lastimarme,y quiero entregarme a ti por completo sin ningún miedo sólo tienes que prometer no lastimarme y soy tuya,0
lastimarme,te di literalmente el arma para lastimarme y no dudaste ni un segundo en usarla,0
lastimarme,bello lastimarme todo lo que quieras tu eres el héroe de mis sueños,0
lastimarme,que les pasa dios como se les ocurre lastimarme asi es alto temazo pero nooooo,0
lastimarme,no me gustas no me interesas me aburres ya no te quiero era tan fácil decirlo pero elegiste llevarlo d,0
lastimarme,un día dejo de lastimarme y casi me muero,1
lastimarme,entonces me estas diciendo que se acabó todo que es el final que no voy a cantar ninguna de las canciones del álb,0
lastimarme,todo bien pero podrias dejar de lastimarme no,0
lastimarme,ya te olvidé vuelvo a ser libre otra vez estás muy lejos de mí tú lo lograste con herirme lastimarme y conve,0
lastimarme,que manera de lastimarme que asco aveces pienso que fue tan al pedo todo esto,0
lastimarme,siempre el malo de la pelicula soy yo x lastimarme y no poder ir ah pero culo comodo no mueve un dedo para venir a verme,0
lastimarme,azul sería mucho pedir no lastimarme,0
lastimarme,te odio por qué tengo miedo te odio por qué cada vez que te tardas en contestar sufro te odio por qué no entiendo,0
lastimarme,el día que deje de esperar cosas de gente de mierda que lo único que hace es lastimarme voy a estar tranquila,0
lastimarme,no entiendo el juego solo espero no lástimarme con mi torpeza,0
lastimarme,a veces trato de decirme a mi mismo que seré más bitch con la gente para no lastimarme pero si soy honesto conmigo,0
lastimarme,dejen de lastimarme ya,0
lastimarme,bueno lo que usted tiene que hacer para que él no esté enojado es amarme y dejar de lastimarme ya lo sabe,0
lastimarme,el próximo que trate lastimarme juro que la va a pagar cara,0
lastimarme,no ya no quiero lastimarme yo ya no quiero esperarte,0
listo para morir,estoy listo para morir inge califique mi trabajo,0
listo para morir,si un hombre no ha descubierto nada por lo que morir no está listo para vivir,0
listo para morir,calculo que para el ya tengo el depto listo todo remodelado y divino porque sigue estando inhabitable cuand,0
listo para morir,cuando harry dijo estoy listo para morir i really feel that,0
listo para morir,cuando alguien está listo para morirse le nota en la sonrisa,0
listo para morir,listo para morir,1
listo para morir,está de vuelta con un nuevo sencillo titulado nos vamos a morir el cual ya está disponible en,0
listo para morir,incluso planearon matarlo enviandolo a mangueras dos coreas estaba listo para ir a la guerra y morir en misión sin reto,0
listo para morir,estoy listo para morir y si el pueblo lo reclama que me crucifiquen si,1
listo para morir,es fácil declarar que se está listo para morir y ofrecer la propia vida pero no es tan fácil demostrar la veracidad d,0
listo para morir,okay ya estoy listo para morir la estaba esperando hace tiempo,1
listo para morir,dame un poco más de tiempo todavía no estoy listo para morir de ti,0
listo para morir,ya lo he visto todocreo que estoy listo para morir,0
listo para morir,u no voy a empezar pero aquí tenéis a marshall listo para morir mil veces,0
listo para morir,un día como hoy de moría edith piaf alguna vez entrevistada dijo p tiene miedo a morir epiaf no no le temo,0
listo para morir,las bolas vale todo como vas a degollar a una anciana para robarle un kilo de pan que le pegás un mano,0
listo para morir,ahora te vas a morir de la risa este cuarteto de chicos no tan chicos llegan para hacer tus viernes por l,0
listo para morir,me estaba aguantando las ganas de morir para disfrutar de la pileta y ahora parece que no voy a poder ir listo chau,0
listo para morir,oh pero si es el guapo anteriormente gordo ben como estas listo para morir decía el con esa maldita v,0
listo para morir,hoy tengo examen y no estoy listo para morir help,0
listo para morir,un día como hoy de moría edith piaf alguna vez entrevistada dijo p tiene miedo a morir epiaf no no le te,0
listo para morir,si af le dice a mauricio en el debate algo como vos giras el cuadrado en el tetris no no podes más d,0
listo para morir,todo listo para el clásico al morir morimos todos,0
listo para morir,ah listo entonces si vos lo viviste todxs estamxs obligados linda la libertad de elección que mani,0
listo para morir,es estoy listo para morir y tú un admirable testimonio que nos recuerda la dulzura del cielo,1
matarme,con cara de mutante pelo emo y con ganas de matarme xdxdxd,1
matarme,tia pues mi espalda de matarme limpiando agradece las sillas que flipas xd soy un fail de persona,0
matarme,osea yo no quiero que me maten yo quiero matarme,1
matarme,y morirme contigo si te matas y matarme contigo si te mueres porque el amor cuando no muere mata porque amores que m,1
matarme,bueno entré a instagram y ahora tengo más ganas de matarme que antes jaja muy bueno la verdad,0
matarme,ahora que hago con esa información aparte de matarme,1
matarme,extraño mucho a x dios no sé quiero matarme,1
matarme,yo tengo ganas de matarme,1
matarme,cada vez m dais más ganas d matarme,1
matarme,ahora yo soy más pelotuda estoy hecha ojete aguantandome las ganas de llorar y estallar en crisis y me detengo a preocupar,0
matarme,perdón mamá es que es que estoy muy sentimental sólo quiero llorar y llorar y matarme pero más llorar,1
matarme,necesito otro buen gimnasio donde matarme,0
matarme,no quiero sobrevivir en algun momento tendre que matar a antartica y no chamo alguien venga a matarme cosasmekazdelacrikobanda,0
matarme,de hecho si planeo matarme antes de llegar a eso,1
matarme,claro que sí amor siempre podrás matarme a sentones con ese culo delicioso que tienes amor pero ti,0
matarme,maddox quién se atrevió a hacer esto y matarme de ternura thegroup bts pcas,0
matarme,tantas mujeres hermosas hasta me quitan las ganas de matarme nah,1
matarme,culiao estoy a nada de matarme pal pingo,1
matarme,me siento así aunque no haga un carajo en todo el día mi break sería matarme felizmente lo tomo,0
matarme,bueno ya bastaaa no doy mas ventaja ahora a matarme hasta el verano,0
matarme,es mil veces más linda que yo y seguro mejor persona también jsjajjs llego elmo mento de matarme,1
matarme,unas ganas d matarme cuando m peleo con alguien ajsjjaja re exagerada pero bno no m gusta,1
matarme,perdón por querer matarme ahre,1
matarme,llegue al punto en el que no puedo soportar verlos llorar sin querer matarme asi que besitos besitos chau chau a las sad hours,1
matarme,ledesma si nadie me da bola voy a proceder a matarme,1
me estoy ahogando,me estoy ahogando en mis propias lagrimas con ese epilogo lo mas bonito de mi existencia y bendita dora lennox q,0
me estoy ahogando,dije que no salía más hasta diciembre primer finde y me estoy ahogando en ganas de salir a escabiarme pero no chiques yo ya cambié,0
me estoy ahogando,lo que me estoy ahogando por esto no está escrito shownu te amo,0
me estoy ahogando,me estoy ahogando en un mar de lágrimas tenes que ser fuerte me dicen pero yo ya no aguanto másss,1
me estoy ahogando,me estoy ahogando el ridiculo que hemos hecho,0
me estoy ahogando,el puto final me estoy ahogando,1
me estoy ahogando,me estoy ahogando de hambre,0
me estoy ahogando,exhibiendo a su amistad laboral me estoy ahogando jajjajaja,0
me estoy ahogando,fui a clases y me di cuenta que no tenía clases normales sino que teniamos visita a un diario pase por una panader,0
me estoy ahogando,me estoy ahogando jajjajajajjajajajjajajajajajjajajajaj,1
me estoy ahogando,espero que todo vuelva a su cauce porque me estoy ahogando,0
me estoy ahogando,jajajajajajajajajja me estoy ahogando no se pero pienso que debería compartir esto contigo,0
me estoy ahogando,en dakar hay tanta contaminación que me estoy literal ahogando en el taxi por todos los coches y el tráfico,0
me estoy ahogando,necesito respirar bocanadas grandes porque siento que me estoy ahogando,0
me estoy ahogando,me estoy ahogando en mi propio perfume,1
me estoy ahogando,sdekadenzia estaba limpiando las lupas y me he imaginado como tengo chicle,0
me estoy ahogando,gh y para votar gh adara sin el vip me estoy ahogando mucho ghvipo,0
me estoy ahogando,me estoy ahogando de calor y todo por los putos mossos de mierda,0
me estoy ahogando,sí jajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajahahahahahahajajajajah,0
me estoy ahogando,me estoy ahogándo en birra y me parece perfecto,0
me estoy ahogando,pero no puedo siento que muero me estoy ahogando sin tu amor como quisiera,1
me estoy ahogando,que se ha presentado con la bolsa de la compra en la mano y con la camisa empapadisima de a saber que me estoy ahogand,0
me estoy ahogando,ay me estoy ahogando,1
me estoy ahogando,weu ys me morí oruqe me estoy ahogando con el miguelito,0
me odio a mi mismo,a este tipo hay que ponerlo en el mismo manicomio que mameluco deliran y destilan odio a diestra y s,0
me odio a mi mismo,me había prometido a mi mismo dejar el lol pero ahora parece que en un futuro solo voy a estar pensando en cuanto,0
me odio a mi mismo,levantándome a las am del sábado por que básicamente me odio a mi mismo,0
me odio a mi mismo,el odió y desprecio que me tengo a mí mismo ya ni sé que hago con mi vida,1
me odio a mi mismo,me pasó lo mismomí sicólogo me dio la razón me va a dar tratamiento si se me va el odio,1
me odio a mi mismo,y para terminar con mi respuesta es incoherente,0
me odio a mi mismo,precisamente por eso odio y amo a ese niño lo mismo que me odiaba y amaba a mi mismo,0
me odio a mi mismo,lo que me da mas pena a mí es que se incite al odio entre independentistas y nacionalistas da lo mi,0
me odio a mi mismo,odio a mí vieja cuando le digo no hay más te y me dice que me tomé un mate cocido señora no es lo mismo,0
me odio a mi mismo,me odio a mi mismo por ser un celoso,1
me odio a mi mismo,ay c si a mi me hace lo mismo creo que también con los rt gt lo odio,0
me odio a mi mismo,cuando canto una canción que odio me digo a mí mismo pero vos sos un pelotudo o te haces,0
me odio a mi mismo,hablarte en español como pude comprobar hace años cuando fui a ver al betis vs español el indepe,0
me odio a mi mismo,me odio a mi mismo,1
me odio a mi mismo,salimos de un restaurante de aquí mismo solo para no venir solas caminando en esta penumbra las traje en mi vehícu,0
me odio a mi mismo,como odio ponerme colorado cuando conozco a alguien encima me hablo a mi mismo por dentro diciéndome que no me pon,0
me odio a mi mismo,dibujando osiosi uwu ya que es de noche me puedo poner modo emo ajfakfsjakafsj ahre para este dibujo intenté insp,0
me odio a mi mismo,a mí me pasa lo mismo cuando vos faltas pero como las odio a todas prefiero dormir antes de hablar con alguna jajajajjaa,0
me odio a mi mismo,ya ni me digas me odio a mi mismo,1
me odio a mi mismo,siento que le estoy jugando mucho a mi salud me estoy alimentando horrible durmiendo mal y estresándome demasiado,0
me odio a mi mismo,odio ver tweets de perros porque me encantan y los quiero a todos pero al mismo tiempo me recuerdan a mi perro y quiero llorar,0
me odio a mi mismo,en vdd estoy muy aguitado siento que no valgo ni putos pesos y que no le importo a nadie y lo que más me ca,1
me odio a mi mismo,mx mi odio a aduana y unboxing de hollowknight de nintendoswitch todo en un mismo video sus rts me ayudan y se agrad,0
me odio a mi mismo,odio tanto a personal y arnet pero al mismo tiempo los amo es una relación tóxica como la que tenía con mi ex con,0
me odio a mi mismo,normalmente no pero en determinadas ocasiones me odio tanto a mi mismo a un nivel que no se puede ni imaginar,1
me odio yo mismo,yo decía lo mismo hasta que me mire the walking dead tooooda subtitulada y ahora odio el castellano igu,0
me odio yo mismo,me vas a dejar me vas a olvidar rápido y te harás de novio pronto no es primera vez que me pasa el proceso es el,0
me odio yo mismo,o sea por lo menos avísenme a las pm mrc no vamos nooooo llámenme pajua o lo que sea pero por eso no me gust,0
me odio yo mismo,la verdad que no me entiendo y me odio yo mismo veo que no le importó y aún así sigo con ganas de verla,0
me odio yo mismo,me odio yo mismo xq tuve q decirle eso me lo uviese guardado para mí encima interpretó cuálquier cosa,0
me odio yo mismo,eso me tranquiliza me hizo ruido que victor hugo sintiera lo mismo que yo y estoy de acuerdo en que n,0
me odio yo mismo,la bikini que me compré en un local de bs as la trajo un local de san nicolás y si hay algo que odio es que alguie,0
me odio yo mismo,por resumir mucho ya que da igual lo que debatamos si tuviera que quedarme seguro en un sitio yo me sent,0
me odio yo mismo,tengo un hijo pequeño me levanto a las tanto si es sábado como si es lunes me da,0
me odio yo mismo,respecto al independentismo no os dais cuenta de que todos vemos lo mismo pero cada uno le da su enfoque me refi,0
me odio yo mismo,el profesor no puede adoctrinar contar la historia side eso hablamo,0
me odio yo mismo,me he olvidado de querer lo digo en serio solo odio el odio lo digo en serio ahora escucha esta canción en la,0
me odio yo mismo,me da cosa escuchar debatiendo habla con odio soberbia eso es lo que quieren de verdad son sie,0
me odio yo mismo,aaarg lo odio esos copia y pega me crispan me parecen una falta de respeto si no tienen tiempo p,0
me odio yo mismo,yo pensé que no lo sería pero ahora mismo hasta yo me cojo odio porque no solía ser así,0
me odio yo mismo,yo sentiría lo mismo son seres humanos todos cometemos cagadas y quien no que tire la primera piedra,0
me odio yo mismo,yo no justifico actos bandalicos contra propios ciudadanos por muy diferentes que sean sus ideologias per,0
me odio yo mismo,no sé por qué piensas tú soldado que te odio yo si somos la misma cosa tú y yo,0
me odio yo mismo,odio ser tan exigente conmigo mismo al punto que cuando algo no me sale perfectamente como yo quiero me siento un fracasado,0
me odio yo mismo,no yo creo que es todo parte del hermoso mundo en el que vivimos a mi me pasa exactamente lo mismo hasta que lle,0
me odio yo mismo,y literal son como personas minimo que me han hablado estos meses x lo mismo yo he peleado con radfems y queers,0
me odio yo mismo,yo necesito tener mis apps en el mismo orden que las he tenido siempre y odio no acordarme que apps tenía para que,0
me odio yo mismo,me impresiono hasta yo mismo lo sensible que soy me odio,0
me odio yo mismo,odio recomendar una serie y que me digan ay no yo vi el primer capítulo y eso no me gustó puta es el mismo p,0
me voy ahora,mañana no voy a salir me siento super mal yo ahora mismo vistiendome,0
me voy ahora,yo nunca he votado ni votaré a larrañaga impulsor del si a la reforma siempre me ha parecid,0
me voy ahora,de la misma manera que ahora me estoy quejandoquiero decir que tambien voy a agradecer en caso de que se solucione,0
me voy ahora,shelly es que te voy a poner el caso de megumi ogata imagina que me estaba viendo bleac,0
me voy ahora,update en esto saqué y ahora me voy a echar la clase,0
me voy ahora,si voy esta semana el problema es que cuando me robaron me quebraron la muñeca i,0
me voy ahora,ya hice todos los mandados para hacerle el asado a mi vieja y mi hermana mañana preparé la leña y le compré los re,0
me voy ahora,antes me daba vergüenza chamuyar directamente tipo si o si tenía que ser por indirectas ahora ya le agarré la mano en unos m,0
me voy ahora,se retira kika nieto de master chef ahora de quien me voy a burlar,0
me voy ahora,ahora volviendo a la realidad yo me voy mañana y hasta dentro de días no veo a fape,0
me voy ahora,ahora sí me voy a comer a a tu ex culiada,0
me voy ahora,sí ahora cómo me voy de valpo a santiago jajsjdj caminando mejor parto al tiro,0
me voy ahora,me subí al tren colgué con el celu y los auris y ahora no se ni por cual estación voy,0
me voy ahora,ahora hablan estupideces dicen que es un golpe de estado increible lo dice un periodista chileno del pino ning,0
me voy ahora,mira si me voy a quedar dormido y ahora que verga hago un clavo,0
me voy ahora,me emocione tanto que ahora me voy a tomar una birra por manija,0
me voy ahora,prefiero que me llames por mama o otro mote que no me guste ahora voy a tener la culpa yo mantiene los ojos cerrados,0
me voy ahora,borré facebook porque me cansé de ver a todos comprometiendose teniendo bebés siendo felices ahora estoy a punto,1
me voy ahora,estoy tan feliz por haber obtenido mi propia paleta de x ni se imaginan cuanto soñé,0
me voy ahora,en futuros eventos les diré que les voy a cobrar pesos extras cada que me digan ahora tómala con mi teléfono,0
me voy ahora,tengo muchas ganas de llorar ahora pq con lo q está pasando en chile me puse a pensar en la cantidad de gente q apo,0
me voy ahora,me estrese por que no poder conseguir el regalo de mi viejita ahora me voy a tener que tomar unos vinos,0
me voy ahora,que me cagas mi tweet fijo ahora te voy a cagar el tuyo,0
me voy ahora,alberto fernández nos dejan tierra arrasada sé lo que me espera pero va a ser más fácil que ahora porque van a cambi,0
me voy ahora,no me voy a poner en sommelier de votos no hasta ahora y espero que nunca no me parece positivo,0
mi muerte,mi abuelo era jefe de varias cátedras en la carrera de quimica de la uba se las quisieron sacar y mete,0
mi muerte,en mi lápida va a decir causa de muerte mal humor,1
mi muerte,subida a la cañada del lobo como dice mi amigo francisco javier fernández jurado mrgacela para los amigos hoy he,0
mi muerte,unas ganas que mí papá me deje la casa ahr le deseaba la muerte con carpuza,0
mi muerte,yo ya superé la muerte de jose josé mi playlist mi funeral los recoditos,0
mi muerte,esta era mi cabeza cuando lucas logró que nos pusieran el novio de la muerte,0
mi muerte,de hecho le hablé inmediatamente porque estaba en shock por la muerte de mi abuelita no merezco cruzarme con gente así,0
mi muerte,todavía albergo en mí la pequeña esperanza de que las mujeres dejemos de destruirnos entre nosotras a causa de los hombres t,0
mi muerte,así son los derechangos sobre todo los lamehuevos de las hijas de la mx estan dolidos perdieron t,0
mi muerte,samayoa para mí la muerte digna no es la eutanasia,0
mi muerte,un viaje a lo largo de la península de baja california paisajes paradisíacos el mou,0
mi muerte,la detención de los hombres ha generado irregularidades fuentes cercanas a los familiares de yusleidy afirman la fam,0
mi muerte,jajaja mi mamá me dice te cago a palo si te llegas a hacer algo diabólico jajaja y hace más de una año que tengo,0
mi muerte,me gusta mi tl tengo un poco de todo garrerosas a muerte de colo colo somos de esa misma línea de la contra y,0
mi muerte,líneas que dedica bolognesi en la ultima carta a su esposa cuando ya sabía que su muerte por la cercanía del enermlgo,0
mi muerte,mil disculpas de mi parte a los frenteamplistas que están siendo amenazados de muerte por mi amigo paul gurgitano de punta,0
mi muerte,ni estando en mi lecho de muerte pierdo la oportunidad de gastar plata,0
mi muerte,contare decidimos jugar un juego peligroso el primero en volverse loco perdería al final no estoy seguro pero creo que perdí por,0
mi muerte,jajajaj dios paren de atentar contra mi todos sabemos que siemrpe le pasó cerca a la muerte sólo eso,0
mi muerte,estoy firmanfo mi sentenfia de muerte en estr precido momentd,1
mi muerte,en ese momento yo estaba en tratamiento psicológico y psiquiátrico y él me podía hacer pasar por loca así queme p,0
mi muerte,para mí la mejor de van damme puede ser muerte súbita jcvd y timecop están bien van damme inferno a,0
mi vida consiste en nada,mi vida consiste en amar demasiado a mi familia y amigos sin importar si es mutuo eso me convierte en una mala p,0
mi vida consiste en nada,esfuerzo ninguno y asegurada ya tiene esa vida regalada qué bien expresado y tamp,0
